"Statistic Label","Sex","Industry","Province County or City","CensusYear","UNIT","VALUE"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Clare","2006","Number","1877"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Clare","2011","Number","1833"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Clare","2016","Number","1791"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Cork","2002","Number","6004"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Cork","2006","Number","7695"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Cork","2011","Number","8556"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Cork","2016","Number","8614"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Cork City","2002","Number","1828"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Cork City","2006","Number","2128"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Cork City","2011","Number","2072"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Cork City","2016","Number","2209"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Cork County","2002","Number","4176"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Cork County","2006","Number","5567"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Cork County","2011","Number","6484"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Cork County","2016","Number","6405"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Kerry","2002","Number","1941"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Kerry","2006","Number","2223"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Kerry","2011","Number","2345"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Kerry","2016","Number","2319"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Limerick","2002","Number","2399"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Limerick","2006","Number","2867"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Limerick","2011","Number","2953"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Limerick","2016","Number","2788"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Limerick City","2002","Number","871"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Limerick City","2006","Number","916"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Limerick City","2011","Number","893"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Limerick City","2016","Number",""
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Limerick County","2002","Number","1528"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Limerick County","2006","Number","1951"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Limerick County","2011","Number","2060"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Limerick County","2016","Number",""
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Tipperary","2002","Number","2008"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Tipperary","2006","Number","2690"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Tipperary","2011","Number","2578"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Tipperary","2016","Number","2216"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","North Tipperary","2002","Number","812"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","North Tipperary","2006","Number","1069"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","North Tipperary","2011","Number","1042"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","North Tipperary","2016","Number",""
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","South Tipperary","2002","Number","1196"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","South Tipperary","2006","Number","1621"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","South Tipperary","2011","Number","1536"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","South Tipperary","2016","Number",""
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Waterford","2002","Number","1411"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Waterford","2006","Number","1780"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Waterford","2011","Number","1822"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Waterford","2016","Number","1752"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Waterford City","2002","Number","583"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Waterford City","2006","Number","688"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Waterford City","2011","Number","731"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Waterford City","2016","Number",""
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Waterford County","2002","Number","828"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Waterford County","2006","Number","1092"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Waterford County","2011","Number","1091"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Waterford County","2016","Number",""
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Connacht","2002","Number","6336"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Connacht","2006","Number","8495"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Connacht","2011","Number","8800"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Connacht","2016","Number","8617"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Galway","2002","Number","3208"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Galway","2006","Number","4307"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Galway","2011","Number","4374"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Galway","2016","Number","3979"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Galway City","2002","Number","1232"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Galway City","2006","Number","1595"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Galway City","2011","Number","1526"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Galway City","2016","Number","1488"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Galway County","2002","Number","1976"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Galway County","2006","Number","2712"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Galway County","2011","Number","2848"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Galway County","2016","Number","2491"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Leitrim","2002","Number","267"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Leitrim","2006","Number","449"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Leitrim","2011","Number","480"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Leitrim","2016","Number","497"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Mayo","2002","Number","1517"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Mayo","2006","Number","1836"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Mayo","2011","Number","1988"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Mayo","2016","Number","2109"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Roscommon","2002","Number","574"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Roscommon","2006","Number","888"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Roscommon","2011","Number","907"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Roscommon","2016","Number","940"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Sligo","2002","Number","770"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Sligo","2006","Number","1015"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Sligo","2011","Number","1051"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Sligo","2016","Number","1092"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Ulster (part of)","2002","Number","2817"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Ulster (part of)","2006","Number","3771"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Ulster (part of)","2011","Number","4310"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Ulster (part of)","2016","Number","4374"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Cavan","2002","Number","580"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Cavan","2006","Number","793"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Cavan","2011","Number","973"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Cavan","2016","Number","1051"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Donegal","2002","Number","1662"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Donegal","2006","Number","2207"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Donegal","2011","Number","2541"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Donegal","2016","Number","2487"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Monaghan","2002","Number","575"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Monaghan","2006","Number","771"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Monaghan","2011","Number","796"
"Population 15 years and over at work","Both sexes","Other community, social and personal service activities","Monaghan","2016","Number","836"
"Population 15 years and over at work","Both sexes","Industry not stated","State","2002","Number","101528"
"Population 15 years and over at work","Both sexes","Industry not stated","State","2006","Number","132910"
"Population 15 years and over at work","Both sexes","Industry not stated","State","2011","Number","101311"
"Population 15 years and over at work","Both sexes","Industry not stated","State","2016","Number","159989"
"Population 15 years and over at work","Both sexes","Industry not stated","Leinster","2002","Number","62425"
"Population 15 years and over at work","Both sexes","Industry not stated","Leinster","2006","Number","82803"
"Population 15 years and over at work","Both sexes","Industry not stated","Leinster","2011","Number","57404"
"Population 15 years and over at work","Both sexes","Industry not stated","Leinster","2016","Number","98530"
"Population 15 years and over at work","Both sexes","Industry not stated","Carlow","2002","Number","1013"
"Population 15 years and over at work","Both sexes","Industry not stated","Carlow","2006","Number","2018"
"Population 15 years and over at work","Both sexes","Industry not stated","Carlow","2011","Number","1429"
"Population 15 years and over at work","Both sexes","Industry not stated","Carlow","2016","Number","2076"
"Population 15 years and over at work","Both sexes","Industry not stated","Dublin","2002","Number","40673"
"Population 15 years and over at work","Both sexes","Industry not stated","Dublin","2006","Number","50923"
"Population 15 years and over at work","Both sexes","Industry not stated","Dublin","2011","Number","32941"
"Population 15 years and over at work","Both sexes","Industry not stated","Dublin","2016","Number","61164"
"Population 15 years and over at work","Both sexes","Industry not stated","Dublin City","2002","Number","23966"
"Population 15 years and over at work","Both sexes","Industry not stated","Dublin City","2006","Number","26426"
"Population 15 years and over at work","Both sexes","Industry not stated","Dublin City","2011","Number","16762"
"Population 15 years and over at work","Both sexes","Industry not stated","Dublin City","2016","Number","33514"
"Population 15 years and over at work","Both sexes","Industry not stated","Dún Laoghaire-Rathdown","2002","Number","3874"
"Population 15 years and over at work","Both sexes","Industry not stated","Dún Laoghaire-Rathdown","2006","Number","4933"
"Population 15 years and over at work","Both sexes","Industry not stated","Dún Laoghaire-Rathdown","2011","Number","3792"
"Population 15 years and over at work","Both sexes","Industry not stated","Dún Laoghaire-Rathdown","2016","Number","5623"
"Population 15 years and over at work","Both sexes","Industry not stated","Fingal","2002","Number","5414"
"Population 15 years and over at work","Both sexes","Industry not stated","Fingal","2006","Number","8975"
"Population 15 years and over at work","Both sexes","Industry not stated","Fingal","2011","Number","6552"
"Population 15 years and over at work","Both sexes","Industry not stated","Fingal","2016","Number","11146"
"Population 15 years and over at work","Both sexes","Industry not stated","South Dublin","2002","Number","7419"
"Population 15 years and over at work","Both sexes","Industry not stated","South Dublin","2006","Number","10589"
"Population 15 years and over at work","Both sexes","Industry not stated","South Dublin","2011","Number","5835"
"Population 15 years and over at work","Both sexes","Industry not stated","South Dublin","2016","Number","10881"
"Population 15 years and over at work","Both sexes","Industry not stated","Kildare","2002","Number","4219"
"Population 15 years and over at work","Both sexes","Industry not stated","Kildare","2006","Number","6205"
"Population 15 years and over at work","Both sexes","Industry not stated","Kildare","2011","Number","3802"
"Population 15 years and over at work","Both sexes","Industry not stated","Kildare","2016","Number","5560"
"Population 15 years and over at work","Both sexes","Industry not stated","Kilkenny","2002","Number","1676"
"Population 15 years and over at work","Both sexes","Industry not stated","Kilkenny","2006","Number","2189"
"Population 15 years and over at work","Both sexes","Industry not stated","Kilkenny","2011","Number","1727"
"Population 15 years and over at work","Both sexes","Industry not stated","Kilkenny","2016","Number","2427"
"Population 15 years and over at work","Both sexes","Industry not stated","Laois","2002","Number","1074"
"Population 15 years and over at work","Both sexes","Industry not stated","Laois","2006","Number","2109"
"Population 15 years and over at work","Both sexes","Industry not stated","Laois","2011","Number","2081"
"Population 15 years and over at work","Both sexes","Industry not stated","Laois","2016","Number","3027"
"Population 15 years and over at work","Both sexes","Industry not stated","Longford","2002","Number","981"
"Population 15 years and over at work","Both sexes","Industry not stated","Longford","2006","Number","1209"
"Population 15 years and over at work","Both sexes","Industry not stated","Longford","2011","Number","943"
"Population 15 years and over at work","Both sexes","Industry not stated","Longford","2016","Number","1394"
"Population 15 years and over at work","Both sexes","Industry not stated","Louth","2002","Number","1862"
"Population 15 years and over at work","Both sexes","Industry not stated","Louth","2006","Number","2903"
"Population 15 years and over at work","Both sexes","Industry not stated","Louth","2011","Number","2343"
"Population 15 years and over at work","Both sexes","Industry not stated","Louth","2016","Number","3893"
"Population 15 years and over at work","Both sexes","Industry not stated","Meath","2002","Number","2897"
"Population 15 years and over at work","Both sexes","Industry not stated","Meath","2006","Number","4446"
"Population 15 years and over at work","Both sexes","Industry not stated","Meath","2011","Number","3565"
"Population 15 years and over at work","Both sexes","Industry not stated","Meath","2016","Number","5575"
"Population 15 years and over at work","Both sexes","Industry not stated","Offaly","2002","Number","2045"
"Population 15 years and over at work","Both sexes","Industry not stated","Offaly","2006","Number","2201"
"Population 15 years and over at work","Both sexes","Industry not stated","Offaly","2011","Number","1557"
"Population 15 years and over at work","Both sexes","Industry not stated","Offaly","2016","Number","2481"
"Population 15 years and over at work","Both sexes","Industry not stated","Westmeath","2002","Number","1524"
"Population 15 years and over at work","Both sexes","Industry not stated","Westmeath","2006","Number","2690"
"Population 15 years and over at work","Both sexes","Industry not stated","Westmeath","2011","Number","1959"
"Population 15 years and over at work","Both sexes","Industry not stated","Westmeath","2016","Number","2950"
"Population 15 years and over at work","Both sexes","Industry not stated","Wexford","2002","Number","1630"
"Population 15 years and over at work","Both sexes","Industry not stated","Wexford","2006","Number","2161"
"Population 15 years and over at work","Both sexes","Industry not stated","Wexford","2011","Number","2245"
"Population 15 years and over at work","Both sexes","Industry not stated","Wexford","2016","Number","3692"
"Population 15 years and over at work","Both sexes","Industry not stated","Wicklow","2002","Number","2831"
"Population 15 years and over at work","Both sexes","Industry not stated","Wicklow","2006","Number","3749"
"Population 15 years and over at work","Both sexes","Industry not stated","Wicklow","2011","Number","2812"
"Population 15 years and over at work","Both sexes","Industry not stated","Wicklow","2016","Number","4291"
"Population 15 years and over at work","Both sexes","Industry not stated","Munster","2002","Number","23993"
"Population 15 years and over at work","Both sexes","Industry not stated","Munster","2006","Number","31799"
"Population 15 years and over at work","Both sexes","Industry not stated","Munster","2011","Number","26503"
"Population 15 years and over at work","Both sexes","Industry not stated","Munster","2016","Number","37909"
"Population 15 years and over at work","Both sexes","Industry not stated","Clare","2002","Number","2242"
"Population 15 years and over at work","Both sexes","Industry not stated","Clare","2006","Number","3754"
"Population 15 years and over at work","Both sexes","Industry not stated","Clare","2011","Number","2550"
"Population 15 years and over at work","Both sexes","Industry not stated","Clare","2016","Number","3794"
"Population 15 years and over at work","Both sexes","Industry not stated","Cork","2002","Number","9524"
"Population 15 years and over at work","Both sexes","Industry not stated","Cork","2006","Number","13267"
"Population 15 years and over at work","Both sexes","Industry not stated","Cork","2011","Number","10900"
"Population 15 years and over at work","Both sexes","Industry not stated","Cork","2016","Number","14575"
"Population 15 years and over at work","Both sexes","Industry not stated","Cork City","2002","Number","3317"
"Population 15 years and over at work","Both sexes","Industry not stated","Cork City","2006","Number","4211"
"Population 15 years and over at work","Both sexes","Industry not stated","Cork City","2011","Number","3114"
"Population 15 years and over at work","Both sexes","Industry not stated","Cork City","2016","Number","4636"
"Population 15 years and over at work","Both sexes","Industry not stated","Cork County","2002","Number","6207"
"Population 15 years and over at work","Both sexes","Industry not stated","Cork County","2006","Number","9056"
"Population 15 years and over at work","Both sexes","Industry not stated","Cork County","2011","Number","7786"
"Population 15 years and over at work","Both sexes","Industry not stated","Cork County","2016","Number","9939"
"Population 15 years and over at work","Both sexes","Industry not stated","Kerry","2002","Number","3597"
"Population 15 years and over at work","Both sexes","Industry not stated","Kerry","2006","Number","4550"
"Population 15 years and over at work","Both sexes","Industry not stated","Kerry","2011","Number","3444"
"Population 15 years and over at work","Both sexes","Industry not stated","Kerry","2016","Number","5380"
"Population 15 years and over at work","Both sexes","Industry not stated","Limerick","2002","Number","3195"
"Population 15 years and over at work","Both sexes","Industry not stated","Limerick","2006","Number","4058"
"Population 15 years and over at work","Both sexes","Industry not stated","Limerick","2011","Number","3771"
"Population 15 years and over at work","Both sexes","Industry not stated","Limerick","2016","Number","5791"
"Population 15 years and over at work","Both sexes","Industry not stated","Limerick City","2002","Number","931"
"Population 15 years and over at work","Both sexes","Industry not stated","Limerick City","2006","Number","1017"
"Population 15 years and over at work","Both sexes","Industry not stated","Limerick City","2011","Number","1371"
"Population 15 years and over at work","Both sexes","Industry not stated","Limerick City","2016","Number",""
"Population 15 years and over at work","Both sexes","Industry not stated","Limerick County","2002","Number","2264"
"Population 15 years and over at work","Both sexes","Industry not stated","Limerick County","2006","Number","3041"
"Population 15 years and over at work","Both sexes","Industry not stated","Limerick County","2011","Number","2400"
"Population 15 years and over at work","Both sexes","Industry not stated","Limerick County","2016","Number",""
"Population 15 years and over at work","Both sexes","Industry not stated","Tipperary","2002","Number","3185"
"Population 15 years and over at work","Both sexes","Industry not stated","Tipperary","2006","Number","3303"
"Population 15 years and over at work","Both sexes","Industry not stated","Tipperary","2011","Number","3394"
"Population 15 years and over at work","Both sexes","Industry not stated","Tipperary","2016","Number","4753"
"Population 15 years and over at work","Both sexes","Industry not stated","North Tipperary","2002","Number","1428"
"Population 15 years and over at work","Both sexes","Industry not stated","North Tipperary","2006","Number","1553"
"Population 15 years and over at work","Both sexes","Industry not stated","North Tipperary","2011","Number","1523"
"Population 15 years and over at work","Both sexes","Industry not stated","North Tipperary","2016","Number",""
"Population 15 years and over at work","Both sexes","Industry not stated","South Tipperary","2002","Number","1757"
"Population 15 years and over at work","Both sexes","Industry not stated","South Tipperary","2006","Number","1750"
"Population 15 years and over at work","Both sexes","Industry not stated","South Tipperary","2011","Number","1871"
"Population 15 years and over at work","Both sexes","Industry not stated","South Tipperary","2016","Number",""
"Population 15 years and over at work","Both sexes","Industry not stated","Waterford","2002","Number","2250"
"Population 15 years and over at work","Both sexes","Industry not stated","Waterford","2006","Number","2867"
"Population 15 years and over at work","Both sexes","Industry not stated","Waterford","2011","Number","2444"
"Population 15 years and over at work","Both sexes","Industry not stated","Waterford","2016","Number","3616"
"Population 15 years and over at work","Both sexes","Industry not stated","Waterford City","2002","Number","1230"
"Population 15 years and over at work","Both sexes","Industry not stated","Waterford City","2006","Number","1854"
"Population 15 years and over at work","Both sexes","Industry not stated","Waterford City","2011","Number","1210"
"Population 15 years and over at work","Both sexes","Industry not stated","Waterford City","2016","Number",""
"Population 15 years and over at work","Both sexes","Industry not stated","Waterford County","2002","Number","1020"
"Population 15 years and over at work","Both sexes","Industry not stated","Waterford County","2006","Number","1013"
"Population 15 years and over at work","Both sexes","Industry not stated","Waterford County","2011","Number","1234"
"Population 15 years and over at work","Both sexes","Industry not stated","Waterford County","2016","Number",""
"Population 15 years and over at work","Both sexes","Industry not stated","Connacht","2002","Number","10036"
"Population 15 years and over at work","Both sexes","Industry not stated","Connacht","2006","Number","11839"
"Population 15 years and over at work","Both sexes","Industry not stated","Connacht","2011","Number","11972"
"Population 15 years and over at work","Both sexes","Industry not stated","Connacht","2016","Number","15313"
"Population 15 years and over at work","Both sexes","Industry not stated","Galway","2002","Number","5356"
"Population 15 years and over at work","Both sexes","Industry not stated","Galway","2006","Number","6487"
"Population 15 years and over at work","Both sexes","Industry not stated","Galway","2011","Number","6174"
"Population 15 years and over at work","Both sexes","Industry not stated","Galway","2016","Number","8094"
"Population 15 years and over at work","Both sexes","Industry not stated","Galway City","2002","Number","2149"
"Population 15 years and over at work","Both sexes","Industry not stated","Galway City","2006","Number","2334"
"Population 15 years and over at work","Both sexes","Industry not stated","Galway City","2011","Number","2316"
"Population 15 years and over at work","Both sexes","Industry not stated","Galway City","2016","Number","3339"
"Population 15 years and over at work","Both sexes","Industry not stated","Galway County","2002","Number","3207"
"Population 15 years and over at work","Both sexes","Industry not stated","Galway County","2006","Number","4153"
"Population 15 years and over at work","Both sexes","Industry not stated","Galway County","2011","Number","3858"
"Population 15 years and over at work","Both sexes","Industry not stated","Galway County","2016","Number","4755"
"Population 15 years and over at work","Both sexes","Industry not stated","Leitrim","2002","Number","589"
"Population 15 years and over at work","Both sexes","Industry not stated","Leitrim","2006","Number","502"
"Population 15 years and over at work","Both sexes","Industry not stated","Leitrim","2011","Number","703"
"Population 15 years and over at work","Both sexes","Industry not stated","Leitrim","2016","Number","1005"
"Population 15 years and over at work","Both sexes","Industry not stated","Mayo","2002","Number","1908"
"Population 15 years and over at work","Both sexes","Industry not stated","Mayo","2006","Number","2641"
"Population 15 years and over at work","Both sexes","Industry not stated","Mayo","2011","Number","2200"
"Population 15 years and over at work","Both sexes","Industry not stated","Mayo","2016","Number","3069"
"Population 15 years and over at work","Both sexes","Industry not stated","Roscommon","2002","Number","796"
"Population 15 years and over at work","Both sexes","Industry not stated","Roscommon","2006","Number","983"
"Population 15 years and over at work","Both sexes","Industry not stated","Roscommon","2011","Number","1301"
"Population 15 years and over at work","Both sexes","Industry not stated","Roscommon","2016","Number","1533"
"Population 15 years and over at work","Both sexes","Industry not stated","Sligo","2002","Number","1387"
"Population 15 years and over at work","Both sexes","Industry not stated","Sligo","2006","Number","1226"
"Population 15 years and over at work","Both sexes","Industry not stated","Sligo","2011","Number","1594"
"Population 15 years and over at work","Both sexes","Industry not stated","Sligo","2016","Number","1612"
"Population 15 years and over at work","Both sexes","Industry not stated","Ulster (part of)","2002","Number","5074"
"Population 15 years and over at work","Both sexes","Industry not stated","Ulster (part of)","2006","Number","6469"
"Population 15 years and over at work","Both sexes","Industry not stated","Ulster (part of)","2011","Number","5432"
"Population 15 years and over at work","Both sexes","Industry not stated","Ulster (part of)","2016","Number","8237"
"Population 15 years and over at work","Both sexes","Industry not stated","Cavan","2002","Number","1161"
"Population 15 years and over at work","Both sexes","Industry not stated","Cavan","2006","Number","2200"
"Population 15 years and over at work","Both sexes","Industry not stated","Cavan","2011","Number","1517"
"Population 15 years and over at work","Both sexes","Industry not stated","Cavan","2016","Number","1877"
"Population 15 years and over at work","Both sexes","Industry not stated","Donegal","2002","Number","2687"
"Population 15 years and over at work","Both sexes","Industry not stated","Donegal","2006","Number","2622"
"Population 15 years and over at work","Both sexes","Industry not stated","Donegal","2011","Number","2794"
"Population 15 years and over at work","Both sexes","Industry not stated","Donegal","2016","Number","4447"
"Population 15 years and over at work","Both sexes","Industry not stated","Monaghan","2002","Number","1226"
"Population 15 years and over at work","Both sexes","Industry not stated","Monaghan","2006","Number","1647"
"Population 15 years and over at work","Both sexes","Industry not stated","Monaghan","2011","Number","1121"
"Population 15 years and over at work","Both sexes","Industry not stated","Monaghan","2016","Number","1913"
"Population 15 years and over at work","Both sexes","All industries","State","2002","Number","1641587"
"Population 15 years and over at work","Both sexes","All industries","State","2006","Number","1930042"
"Population 15 years and over at work","Both sexes","All industries","State","2011","Number","1807360"
"Population 15 years and over at work","Both sexes","All industries","State","2016","Number","2006641"
"Population 15 years and over at work","Both sexes","All industries","Leinster","2002","Number","916027"
"Population 15 years and over at work","Both sexes","All industries","Leinster","2006","Number","1077710"
"Population 15 years and over at work","Both sexes","All industries","Leinster","2011","Number","1009942"
"Population 15 years and over at work","Both sexes","All industries","Leinster","2016","Number","1138817"
"Population 15 years and over at work","Both sexes","All industries","Carlow","2002","Number","18340"
"Population 15 years and over at work","Both sexes","All industries","Carlow","2006","Number","22075"
"Population 15 years and over at work","Both sexes","All industries","Carlow","2011","Number","19502"
"Population 15 years and over at work","Both sexes","All industries","Carlow","2016","Number","21973"
"Population 15 years and over at work","Both sexes","All industries","Dublin","2002","Number","508030"
"Population 15 years and over at work","Both sexes","All industries","Dublin","2006","Number","572896"
"Population 15 years and over at work","Both sexes","All industries","Dublin","2011","Number","540729"
"Population 15 years and over at work","Both sexes","All industries","Dublin","2016","Number","614776"
"Population 15 years and over at work","Both sexes","All industries","Dublin City","2002","Number","224300"
"Population 15 years and over at work","Both sexes","All industries","Dublin City","2006","Number","245007"
"Population 15 years and over at work","Both sexes","All industries","Dublin City","2011","Number","227429"
"Population 15 years and over at work","Both sexes","All industries","Dublin City","2016","Number","265670"
"Population 15 years and over at work","Both sexes","All industries","Dún Laoghaire-Rathdown","2002","Number","81930"
"Population 15 years and over at work","Both sexes","All industries","Dún Laoghaire-Rathdown","2006","Number","87815"
"Population 15 years and over at work","Both sexes","All industries","Dún Laoghaire-Rathdown","2011","Number","87490"
"Population 15 years and over at work","Both sexes","All industries","Dún Laoghaire-Rathdown","2016","Number","95925"
"Population 15 years and over at work","Both sexes","All industries","Fingal","2002","Number","91699"
"Population 15 years and over at work","Both sexes","All industries","Fingal","2006","Number","120794"
"Population 15 years and over at work","Both sexes","All industries","Fingal","2011","Number","119276"
"Population 15 years and over at work","Both sexes","All industries","Fingal","2016","Number","133971"
"Population 15 years and over at work","Both sexes","All industries","South Dublin","2002","Number","110101"
"Population 15 years and over at work","Both sexes","All industries","South Dublin","2006","Number","119280"
"Population 15 years and over at work","Both sexes","All industries","South Dublin","2011","Number","106534"
"Population 15 years and over at work","Both sexes","All industries","South Dublin","2016","Number","119210"
"Population 15 years and over at work","Both sexes","All industries","Kildare","2002","Number","74347"
"Population 15 years and over at work","Both sexes","All industries","Kildare","2006","Number","91581"
"Population 15 years and over at work","Both sexes","All industries","Kildare","2011","Number","85587"
"Population 15 years and over at work","Both sexes","All industries","Kildare","2016","Number","95947"
"Population 15 years and over at work","Both sexes","All industries","Kilkenny","2002","Number","33085"
"Population 15 years and over at work","Both sexes","All industries","Kilkenny","2006","Number","39809"
"Population 15 years and over at work","Both sexes","All industries","Kilkenny","2011","Number","37273"
"Population 15 years and over at work","Both sexes","All industries","Kilkenny","2016","Number","41363"
"Population 15 years and over at work","Both sexes","All industries","Laois","2002","Number","23705"
"Population 15 years and over at work","Both sexes","All industries","Laois","2006","Number","30219"
"Population 15 years and over at work","Both sexes","All industries","Laois","2011","Number","30337"
"Population 15 years and over at work","Both sexes","All industries","Laois","2016","Number","33541"
"Population 15 years and over at work","Both sexes","All industries","Longford","2002","Number","11895"
"Population 15 years and over at work","Both sexes","All industries","Longford","2006","Number","14527"
"Population 15 years and over at work","Both sexes","All industries","Longford","2011","Number","13871"
"Population 15 years and over at work","Both sexes","All industries","Longford","2016","Number","15172"
"Population 15 years and over at work","Both sexes","All industries","Louth","2002","Number","39776"
"Population 15 years and over at work","Both sexes","All industries","Louth","2006","Number","48129"
"Population 15 years and over at work","Both sexes","All industries","Louth","2011","Number","44232"
"Population 15 years and over at work","Both sexes","All industries","Louth","2016","Number","50317"
"Population 15 years and over at work","Both sexes","All industries","Meath","2002","Number","58990"
"Population 15 years and over at work","Both sexes","All industries","Meath","2006","Number","78437"
